policy_name,policy_group,split,scenario,coordinated_action,rows,mean_reward,total_reward,std_reward,mean_risk,mean_delay,mean_service,mean_resilience,mean_cost,mean_profit_proxy,dominant_action,dominant_action_percent,action_entropy,unique_actions_used
sthg_cmappo_risk_service_policy,Proposed-CMARL,train,normal,1,78855,8.245935301197509,650233.2281759295,0.6169670890793013,0.06801690053902817,0.11805081207394029,0.9651095458431233,0.9641255408767038,0.41711403692411225,0.8616467196310672,seller_risk_avoidance,67.66216473273731,0.8724837241030553,4
sthg_cmappo_cost_resilient_policy,Proposed-CMARL,train,normal,1,78855,8.246109085753774,650246.9319571139,0.6158010761708291,0.0662811819293222,0.11833021104188145,0.9621413017575194,0.9653573758986284,0.4167554079785408,0.8615293115927958,seller_risk_avoidance,69.09771098852325,0.860902017440015,4
sthg_cmappo_pareto_policy,Proposed-CMARL,valid,normal,1,16897,8.265950754222974,139669.7698941056,0.5120510061465847,0.07034299185185378,0.1130696584694168,0.9793832315574341,0.947800753683653,0.403817517745632,0.8632822093372009,seller_risk_avoidance,61.82754335089069,1.061657830039757,4
sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,valid,normal,1,16897,8.287897627259104,140040.60620779707,0.510274331684078,0.06050598200649388,0.1194766267001704,0.9752861332528974,0.9572019417896844,0.4078373884063397,0.8678227420652807,seller_risk_avoidance,75.0073977629165,0.761858791194194,4
sthg_cmappo_risk_service_policy,Proposed-CMARL,valid,normal,1,16897,8.289133067852976,140061.48144751173,0.5105842070107587,0.05968645241869419,0.12075110060067588,0.975762822161803,0.9575394851313731,0.40825142776964524,0.8683735409979709,seller_risk_avoidance,76.55205065988045,0.7150477736350354,4
sthg_cmappo_cost_resilient_policy,Proposed-CMARL,valid,normal,1,16897,8.289310584561152,140064.48094732978,0.5098649913106658,0.058532948349158,0.12143980465173733,0.9741560256017815,0.9585681081482661,0.40805175278232214,0.8683021183297787,seller_risk_avoidance,77.68834704385394,0.6993295412168288,4
sthg_cmappo_pareto_policy,Proposed-CMARL,test,normal,1,16898,8.28395912590785,139982.34130959085,0.48748009826804517,0.06999273765033404,0.10734351169508678,0.9825597098346781,0.9529697245835737,0.4135952072248559,0.863043872281342,seller_risk_avoidance,59.7940584684578,1.097608295951075,4
sthg_cmappo_adaptive_hybrid_policy,Proposed-CMARL,test,normal,1,16898,8.308950184780423,140404.64022241958,0.4846679135162108,0.05980289497577192,0.11305685301710607,0.97876189658869,0.9624110673176031,0.41862295861163507,0.8684094952142591,seller_risk_avoidance,73.81346904959166,0.7935128242416001,4
sthg_cmappo_risk_service_policy,Proposed-CMARL,test,normal,1,16898,8.310615301487664,140432.77736453855,0.48497740913227344,0.05869280376448485,0.11465098799576795,0.9791610497984127,0.9629997906323469,0.41911367303379476,0.8690766299840641,seller_risk_avoidance,75.81962362409753,0.7386385654340708,4
sthg_cmappo_cost_resilient_policy,Proposed-CMARL,test,normal,1,16898,8.31062975777175,140433.02164682702,0.4842266858552483,0.057849895928182286,0.11511184023485818,0.9779152876386152,0.9637393008682607,0.41890496550071316,0.868936236921516,seller_risk_avoidance,76.59486329743164,0.7319356151105708,4
